ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,-0.6478222063665681,-1.791365105825032,0.5570377994527121,-0.6478222063665681,-0.6478222063665681,0.0,0.0,0.0,0.0,0.0,0.0,-0.6478222063665681
2024-01-02,-0.5037750920363336,-1.6149954985883073,0.495951414501792,-0.5037750920363336,-0.5037750920363336,0.0,0.0,0.0,0.0,0.0,0.0,-0.5037750920363336
2024-01-03,-0.3597279779034657,-1.5079521192140652,0.7910674329976584,-0.3597279779034657,-0.3597279779034657,0.0,0.0,0.0,0.0,0.0,0.0,-0.3597279779034657
2024-01-04,-0.21568086404367548,-1.3244284312695573,0.9843097217036053,-0.21568086404367548,-0.21568086404367548,0.0,0.0,0.0,0.0,0.0,0.0,-0.21568086404367548
2024-01-05,-0.07163375074327674,-1.078545514740224,1.0635676715723132,-0.07163375074327674,-0.07163375074327674,0.0,0.0,0.0,0.0,0.0,0.0,-0.07163375074327674
2024-01-06,0.07241335994309277,-0.9893699372326175,1.2920839575672896,0.07241335994309277,0.07241335994309277,0.0,0.0,0.0,0.0,0.0,0.0,0.07241335994309277
2024-01-07,0.21646046858735732,-0.8673064574015417,1.3435609686582377,0.21646046858735732,0.21646046858735732,0.0,0.0,0.0,0.0,0.0,0.0,0.21646046858735732
2024-01-08,0.36050757946362083,-0.738302048715051,1.4625999664498006,0.36050757946362083,0.36050757946362083,0.0,0.0,0.0,0.0,0.0,0.0,0.36050757946362083
2024-01-09,0.5045546887832874,-0.5793771808640522,1.6171474222277245,0.5045546887832874,0.5045546887832874,0.0,0.0,0.0,0.0,0.0,0.0,0.5045546887832874
2024-01-10,0.648601798102954,-0.356873024060808,1.7254004403895917,0.648601798102954,0.648601798102954,0.0,0.0,0.0,0.0,0.0,0.0,0.648601798102954
2024-01-11,0.7926489074226207,-0.31332903320405153,1.8730696589898457,0.792648905252162,0.7926489099476979,0.0,0.0,0.0,0.0,0.0,0.0,0.7926489074226207
2024-01-12,0.9366960167422874,-0.14375413251696748,2.0503214098636913,0.9366960093826895,0.9366960244196296,0.0,0.0,0.0,0.0,0.0,0.0,0.9366960167422874
2024-01-13,1.080743126061954,-0.06101156955289204,2.195066908533461,1.0807431115317743,1.0807431404785557,0.0,0.0,0.0,0.0,0.0,0.0,1.080743126061954
2024-01-14,1.2247902353816207,0.19994051031644278,2.4323844262611938,1.2247902128796706,1.2247902578464678,0.0,0.0,0.0,0.0,0.0,0.0,1.2247902353816207
2024-01-15,1.3688373447012874,0.24522502669831778,2.491453343781248,1.3688373118988524,1.3688373767013224,0.0,0.0,0.0,0.0,0.0,0.0,1.3688373447012874
